covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,javax.faces.component.UIPanel@48c348d2,web_description,ingestion_time,source_file_path
Defense Health Agency,VA,Health Plan,1300,2026-04-14,Unauthorized Access/Disclosure,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Instabase, Inc.",DE,Health Plan,908,2026-04-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Branch Metrics, Inc.",CA,Health Plan,857,2026-04-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Springfield Hospital ,VT,Healthcare Provider,5892,2026-04-10,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
CARE Clinic,MN,Healthcare Provider,500,2026-04-10,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"CardioFit Medical Group, Inc.",CA,Healthcare Provider,7243,2026-04-09,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Virginia Department of Behavioral Health and Developmental Services,VA,Healthcare Provider,724,2026-04-07,Unauthorized Access/Disclosure,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Heart South Cardiovascular Group,AL,Healthcare Provider,46666,2026-04-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Hospital Caribbean Medical Center,null,Healthcare Provider,92000,2026-04-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Option Care Health, Inc. ",IL,Healthcare Provider,1891,2026-04-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Rocky Mountain Associated Physicians, P.C. ",UT,Healthcare Provider,50640,2026-04-03,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Village Heart Seller, PC d/b/a Village Heart & Vein Center ",FL,Healthcare Provider,687,2026-04-03,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Southern Illinois Dermatology ,IL,Healthcare Provider,160312,2026-04-02,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Interventional Pain Center, PLLC",TN,Healthcare Provider,3171,2026-03-31,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Waterford Surgical Center,MI,Healthcare Provider,9000,2026-03-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Austin Plastic and Reconstructive Surgery ,TX,Healthcare Provider,4266,2026-03-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Healthcare In Action,CA,Healthcare Provider,1143,2026-03-30,Hacking/IT Incident,"Email, Network Server, Other",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Woodfords Family Services,ME,Healthcare Provider,38061,2026-03-27,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,null,Healthcare Provider,24236,2026-03-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Amedisys,LA,Healthcare Provider,9111,2026-03-26,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
LHC Group,LA,Healthcare Provider,8644,2026-03-26,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Securian Financial ,MN,Health Plan,500,2026-03-25,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Fenwick & West Group Health Plan,CA,Health Plan,1740,2026-03-24,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Coastal Carolina Health Care, PA",NC,Healthcare Provider,110304,2026-03-24,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"VirtuOx, LLC",FL,Healthcare Provider,621,2026-03-24,Hacking/IT Incident,"Network Server, Other",Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Continental Casualty Company (CNA),IL,Health Plan,6086,2026-03-23,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Deaconess Health System,IN,Healthcare Provider,8941,2026-03-20,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"BeyondFaith Homecare & Rehab, LLC",TX,Healthcare Provider,708,2026-03-19,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Complete Eye Care dba Orem Eye Clinic,UT,Healthcare Provider,5800,2026-03-19,Hacking/IT Incident,"Network Server, Other",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The South Alabama Regional Planning Commission,AL,Business Associate,3043,2026-03-18,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"OpenLoop Health, Inc. ",IA,Business Associate,716000,2026-03-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Amyris Incorporated Health and Welfare Plan,CA,Health Plan,2042,2026-03-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,6173,2026-03-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Good Samaritan Health Center ,GA,Healthcare Provider,10000,2026-03-16,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Walpole Area Visiting Nurse Association, Inc. ",MA,Healthcare Provider,566,2026-03-16,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Renovo Chiropractic & Wellness,WA,Healthcare Provider,538,2026-03-16,Theft,"Other, Paper/Films",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
UPMC,PA,Healthcare Provider,687,2026-03-14,Unauthorized Access/Disclosure,Other,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Wonderland Child & Family Services,WA,Healthcare Provider,1283,2026-03-13,Unauthorized Access/Disclosure,Laptop,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Trinity Health,MI,Business Associate,2740,2026-03-13,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Ideal Home Care,OK,Healthcare Provider,1331,2026-03-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
A Path of Care Home Health and Hospice,OK,Healthcare Provider,3849,2026-03-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Bloom Circle, Inc. d/b/a Lena Health",TX,Business Associate,3651,2026-03-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
MedPeds Associates of Sarasota,FL,Healthcare Provider,22017,2026-03-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Central Ohio Urology Group,OH,Healthcare Provider,4234,2026-03-12,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Team Select ,AZ,Healthcare Provider,949,2026-03-12,Hacking/IT Incident,"Network Server, Other",Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
SSM Health,OK,Healthcare Provider,597,2026-03-11,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
illumifin Corporation,MN,Business Associate,5385,2026-03-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
NYC Health + Hospitals,NY,Healthcare Provider,5086,2026-03-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Delta Medical Systems,WI,Business Associate,1574,2026-03-10,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Community Health Action of Staten Island,NY,Healthcare Provider,501,2026-03-09,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Saint Anthony Hospital,IL,Healthcare Provider,146108,2026-03-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Barrio Comprehensive Family Health Care Center ,TX,Healthcare Provider,19971,2026-03-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
County of Murray dba Murray County Medical Center,MN,Healthcare Provider,5073,2026-03-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
North Texas Behavioral Health Authority,TX,Healthcare Provider,285086,2026-03-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Exclusive Physicians PLLC,MI,Healthcare Provider,58000,2026-03-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cedar Valley Hospice ,IA,Healthcare Provider,10666,2026-03-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Tieu Dental Corporation ,CA,Healthcare Provider,8918,2026-03-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Longevity Health Plan,FL,Health Plan,15000,2026-03-04,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Kin Counseling Services PLLC,CO,Healthcare Provider,500,2026-03-02,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Greater Boston Urology ,MA,Healthcare Provider,4717,2026-02-28,Hacking/IT Incident,Email,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Insurance ACE/Humana Inc.,KY,Health Plan,1000,2026-02-28,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Lakeside Pediatrics & Adolescent Medicine, PLLC",ID,Healthcare Provider,34154,2026-02-27,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)",NJ,Healthcare Provider,133862,2026-02-27,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Orthopaedic Institute of Western Kentucky,KY,Healthcare Provider,11474,2026-02-27,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Jackson Hospital and Clinic,AL,Healthcare Provider,13910,2026-02-27,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Nephrology Associates Medical Group, Inc",CA,Healthcare Provider,4631,2026-02-27,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Aetna,CT,Business Associate,775,2026-02-27,Unauthorized Access/Disclosure,Paper/Films,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Aetna,CT,Business Associate,10888,2026-02-27,Unauthorized Access/Disclosure,Paper/Films,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Manhattan Retirement Foundation d/b/a Meadowlark Hills,KS,Healthcare Provider,14442,2026-02-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"BMG of Kansas, Inc.",KS,Health Plan,1327,2026-02-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
AltaMed Health Services Corporation,CA,Healthcare Provider,501,2026-02-26,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group",WA,Business Associate,11795,2026-02-24,Hacking/IT Incident,Electronic Medical Record,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Weill Cornell Medicine,NY,Healthcare Provider,516,2026-02-23,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"QualDerm Partners, LLC",TN,Healthcare Provider,3117874,2026-02-22,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Option Care Health, Inc. ",IL,Healthcare Provider,2086,2026-02-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
The Center for Advanced Eye Care,ME,Healthcare Provider,9300,2026-02-20,Hacking/IT Incident,"Network Server, Other",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
VNS Behavioral Health Inc. (“VNS Health”),NY,Healthcare Provider,739,2026-02-18,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Builders FirstSource Flex Plan,TX,Health Plan,1514,2026-02-18,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Emanuel Medical Center,GA,Healthcare Provider,28963,2026-02-17,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Easterseals Northeast Indiana,IN,Healthcare Provider,3158,2026-02-16,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
44North,MI,Business Associate,2158,2026-02-16,Hacking/IT Incident,Desktop Computer,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Wee Care Pediatrics, LLC",UT,Healthcare Provider,2127,2026-02-14,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
National Association on Drug Abuse Problems,NY,Healthcare Provider,90000,2026-02-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
VPS Medical PLLC,PA,Healthcare Provider,4600,2026-02-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Academic Urology & Urogynecology of Arizona,AZ,Healthcare Provider,73281,2026-02-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cedar Valley Services ,MN,Healthcare Provider,501,2026-02-13,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Resource Corporation of America,TX,Business Associate,501,2026-02-13,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Alexes Hazen MD, PLLC",NY,Healthcare Provider,500,2026-02-12,Hacking/IT Incident,"Email, Network Server",No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Cedar Point Health, LLC",CO,Healthcare Provider,23114,2026-02-12,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"ApolloMD Business Services, LLC",GA,Business Associate,626540,2026-02-10,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Counseling Center of Wayne & Holmes Counties ,OH,Healthcare Provider,83354,2026-02-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Wendy Foster OD,KS,Healthcare Provider,20000,2026-02-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Carolina Foot & Ankle Associates,NC,Healthcare Provider,501,2026-02-09,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Marin Cancer Care,CA,Healthcare Provider,501,2026-02-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
TriZetto Provider Solutions,MO,Business Associate,3433965,2026-02-06,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Apex Spine & Neurosurgery, LLC",GA,Healthcare Provider,2500,2026-02-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Triad Radiology Associates,NC,Healthcare Provider,11011,2026-02-06,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Cottage Hospital,NH,Healthcare Provider,1005,2026-02-06,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
WIRX Pharmacy,PA,Healthcare Provider,20047,2026-02-05,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Personalis, Inc.",CA,Healthcare Provider,650,2026-02-04,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Issaqueena Pediatric Dentistry PA,SC,Healthcare Provider,501,2026-02-04,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
