covered_entity_name,individuals_affected,type_of_breach,location_of_breached_information,breach_year,risk_level
Mitchell County Department of Social Services,501,Hacking/IT Incident,Network Server,2025,High
"Medical Center, LLP",32090,Hacking/IT Incident,Network Server,2025,High
North East Medical Services,91513,Hacking/IT Incident,Network Server,2025,High
"Excellent Home Care Services, LLC",16278,Hacking/IT Incident,Email,2025,High
FPMCM LLC,2072,Unauthorized Access/Disclosure,Email,2025,Medium
"OCAT, LLC dba Evoke Wellness at Hilliard",1629,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Fieldtex Products, Inc.",104071,Hacking/IT Incident,Network Server,2025,High
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",500,Hacking/IT Incident,Network Server,2025,High
Brevard Skin and Cancer Center,54570,Hacking/IT Incident,Network Server,2025,High
"Baltimore Medical System, Inc.",501,Hacking/IT Incident,Network Server,2025,High
Centric Health,6855,Hacking/IT Incident,"Electronic Medical Record, Network Server",2025,High
"Southern Oregon Neurosurgical and Spine Associates, PC",1000,Hacking/IT Incident,Email,2025,High
Ochsner LSU Health – Regional Urology,4519,Hacking/IT Incident,Network Server,2025,High
TriCity Family Services,2511,Hacking/IT Incident,Network Server,2025,High
"Vida Y Salud-Health Systems, Inc.",35236,Hacking/IT Incident,Network Server,2025,High
AgeRight Clinical Services,4859,Hacking/IT Incident,Network Server,2025,High
NCH Corporation Employee Benefits Plan,3098,Hacking/IT Incident,Network Server,2025,High
Columbia Medical Practice,94131,Hacking/IT Incident,Network Server,2025,High
Greater St. Louis Oral & Maxillofacial Surgery PC,501,Hacking/IT Incident,Email,2025,High
"Fieldtex Products, Inc.",5901,Hacking/IT Incident,Network Server,2025,High
"Fieldtex Products, Inc.",9206,Hacking/IT Incident,Network Server,2025,High
"Fieldtex Products, Inc.",20641,Hacking/IT Incident,Network Server,2025,High
"MedStar Health, Inc.",64332,Hacking/IT Incident,Network Server,2025,High
ConvenientMD LLC,1332,Unauthorized Access/Disclosure,Email,2025,Medium
"West Texas Health, PLLC",73720,Hacking/IT Incident,Network Server,2025,High
Madison Healthcare Services,500,Hacking/IT Incident,Network Server,2025,High
FedEx Corporation Group Health Plan,1066,Hacking/IT Incident,Network Server,2025,High
Sports Medicine & Orthopaedics,4000,Hacking/IT Incident,Network Server,2025,High
Cerenade,987,Hacking/IT Incident,Network Server,2025,High
Richmond Behavioral Health Authority,113232,Hacking/IT Incident,Network Server,2025,High
Spindletop Center,88863,Hacking/IT Incident,Network Server,2025,High
Henry Ford Health,1984,Unauthorized Access/Disclosure,Desktop Computer,2025,Medium
Persante Health Care,111815,Hacking/IT Incident,Network Server,2025,High
"Keystone Alliance, Inc.",1021,Hacking/IT Incident,Email,2025,High
Center for Urologic Care of Berks CO,543,Hacking/IT Incident,Network Server,2025,High
Tanner Medical Center,1000,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Greater Meridian Health Clinic, Inc.",4651,Hacking/IT Incident,Network Server,2025,High
"Davies, McFarland & Carroll LLC",54712,Hacking/IT Incident,Network Server,2025,High
"VITAS Hospice Services, LLC",319177,Hacking/IT Incident,Network Server,2025,High
Millcreek Pediatrics,14095,Hacking/IT Incident,Network Server,2025,High
"NS Support, LLC",92845,Hacking/IT Incident,Network Server,2025,High
Delta Dental of Virginia,126953,Hacking/IT Incident,Email,2025,High
Nura PLLC,5207,Hacking/IT Incident,Email,2025,High
"Fieldtex Products, Inc.",238615,Hacking/IT Incident,Network Server,2025,High
Dr. Michael Kaplan DO PC DBA Long Island Weight Loss Institute,3426,Hacking/IT Incident,Network Server,2025,High
Wyandot Behavioral Health Network,27174,Hacking/IT Incident,Network Server,2025,High
Personic Management Company LLC,10929,Hacking/IT Incident,Network Server,2025,High
County of Catawba,500,Hacking/IT Incident,Network Server,2025,High
NAHGA Claim Services,21834,Hacking/IT Incident,Network Server,2025,High
Anchorage Neighborhood Health Center,70555,Hacking/IT Incident,Network Server,2025,High
Dermatology Associates of Concord,501,Hacking/IT Incident,Network Server,2025,High
"Marrs Ear, Nose & Throat, PA",6376,Unauthorized Access/Disclosure,Email,2025,Medium
"Cary Pediatric Center, PA",25784,Hacking/IT Incident,Network Server,2025,High
St. John’s Riverside Hospital,2238,Hacking/IT Incident,Email,2025,High
Morton Drug Company,40051,Hacking/IT Incident,Network Server,2025,High
Steven J. Pearlman MD PC,10182,Hacking/IT Incident,Network Server,2025,High
"Healthcare Therapy Services, Inc.",15027,Hacking/IT Incident,Email,2025,High
Marshfield Clinic Health System,35952,Hacking/IT Incident,Email,2025,High
"Loving and Living Center, PC dba Awakenings Center",17800,Hacking/IT Incident,Electronic Medical Record,2025,High
The Chase Group Employee Benefit Plan,817,Hacking/IT Incident,Network Server,2025,High
Archer Health,4285,Hacking/IT Incident,Network Server,2025,High
Tampa Bay Treatment Associates,3682,Theft,Electronic Medical Record,2025,Low
Denton MHMR Center,108967,Hacking/IT Incident,Network Server,2025,High
Tri Century Eye Care PC,200000,Hacking/IT Incident,Network Server,2025,High
Expert MRI,209560,Hacking/IT Incident,Network Server,2025,High
Judson Center,976,Hacking/IT Incident,Network Server,2025,High
Beverly Hills Oncology Medical Group,57655,Hacking/IT Incident,Network Server,2025,High
Hale Makua Health Services,500,Hacking/IT Incident,Network Server,2025,High
"Better Vision Eyecare, LLC",501,Unauthorized Access/Disclosure,Email,2025,Medium
"Northwest Radiologists, Inc./Mount Baker Imaging",362713,Hacking/IT Incident,Network Server,2025,High
Health Management Systems of America,4213,Hacking/IT Incident,Email,2025,High
"REACH, Inc",1195,Hacking/IT Incident,Email,2025,High
"VirMedice, LLC",1000,Hacking/IT Incident,Network Server,2025,High
Physicians to Children & Adolescents,9536,Hacking/IT Incident,Network Server,2025,High
Southwest Urology,1310,Hacking/IT Incident,Network Server,2025,High
Fairbanks Urology,1446,Hacking/IT Incident,Network Server,2025,High
"Michael R. Schwartz, MD Inc.",9080,Hacking/IT Incident,Desktop Computer,2025,High
"Legacy Health, LLC",6547,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Express Canna Cards, LLC",5000,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
Heartland Health Center,43728,Hacking/IT Incident,Network Server,2025,High
North Atlantic States Carpenters Health Benefits Fund,501,Hacking/IT Incident,Network Server,2025,High
"Modernizing Medicine, Inc.",198795,Hacking/IT Incident,Network Server,2025,High
"River City Eye Care, LLC",6588,Hacking/IT Incident,Network Server,2025,High
"Coalesce, LLC dba Benefitelect",501,Hacking/IT Incident,Network Server,2025,High
"Visiting Nurse Association of Texas, LLC",28515,Hacking/IT Incident,Email,2025,High
Bay Medical LLC,1483,Hacking/IT Incident,Email,2025,High
Conduent Business Services LLC,42616,Hacking/IT Incident,Network Server,2025,High
"Wellpoint, Inc.",579,Hacking/IT Incident,Network Server,2025,High
Sierra Vista Hospital & Clinics,75054,Hacking/IT Incident,Network Server,2025,High
"OB-GYN Associates, Ltd. dba OBGYN Associates",62238,Hacking/IT Incident,Network Server,2025,High
Cardiovascular Medicine Associates (doing business as MyCardiologist),2248,Hacking/IT Incident,Email,2025,High
Space Coast Vascular,18819,Hacking/IT Incident,Network Server,2025,High
Southwest C.A.R.E. Center,21866,Hacking/IT Incident,Network Server,2025,High
Brightstar Global Solutions Corporation,103879,Hacking/IT Incident,Network Server,2025,High
"CareSTL Health, Inc.",501,Hacking/IT Incident,Network Server,2025,High
Arizona Health Care Cost Containment System- State Medicaid Agency,3177,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Florida Health Sciences Center, Inc",896,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
Harris County Hospital District d/b/a Harris Health,5357,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Weekend Health, LLC",1643,Unauthorized Access/Disclosure,Network Server,2025,Medium
Harbor,216000,Hacking/IT Incident,Network Server,2025,High
Intercommunity Action Inc.,2680,Hacking/IT Incident,Network Server,2025,High
Valley Radiology,1166,Hacking/IT Incident,Network Server,2025,High
Rockhill Women’s Care,70129,Hacking/IT Incident,Network Server,2025,High
Susan B. Allen Memorial Hospital,11866,Hacking/IT Incident,"Desktop Computer, Network Server",2025,High
Doctors Imaging Group,171862,Hacking/IT Incident,Network Server,2025,High
Philadelphia Corporation for Aging (PCA),410491,Hacking/IT Incident,Network Server,2025,High
Healthcare Interactive,501,Hacking/IT Incident,Network Server,2025,High
Veradigm LLC,2672036,Hacking/IT Incident,Network Server,2025,High
"City of St. Joseph, MO Health Department",11538,Hacking/IT Incident,Network Server,2025,High
People Encouraging People,13083,Hacking/IT Incident,Network Server,2025,High
"Health & Palliative Services of the Treasure Coast, Inc d/b/a Treasure Coast Hospice  (“Treasure Health ”)",13230,Unauthorized Access/Disclosure,Email,2025,Medium
"Ennoble Care & Circa Health, LLC",36332,Hacking/IT Incident,Email,2025,High
Sun Valley Surgery Center,27001,Hacking/IT Incident,Network Server,2025,High
Trusteed Plan Services Corporation,7977,Hacking/IT Incident,Network Server,2025,High
Navesink Rehab,1428,Hacking/IT Incident,Network Server,2025,High
"Survival Flight, Inc.",97217,Hacking/IT Incident,Network Server,2025,High
Saint Anthony Hospital,6679,Hacking/IT Incident,Email,2025,High
North Penn Comprehensive Health Services d.b.a Laurel Health Centers,991,Hacking/IT Incident,Email,2025,High
"Franklin Dermatology Group, PLC",2457,Hacking/IT Incident,Network Server,2025,High
"PGA Development, Inc.",23899,Hacking/IT Incident,Network Server,2025,High
Texas Center for Infectious Disease Associates,1236,Hacking/IT Incident,Email,2025,High
Coos County Family Health Services,501,Hacking/IT Incident,Network Server,2025,High
Somerset County Children and Youth Services,2251,Hacking/IT Incident,Email,2025,High
"Medical Associates of Brevard, LLC",246711,Hacking/IT Incident,Network Server,2025,High
Twin Cities Pain Clinic,3572,Hacking/IT Incident,Email,2025,High
Retina Group of Florida,152691,Hacking/IT Incident,Network Server,2025,High
Teamsters Union 25 Health Services & Insurance Plan,19231,Hacking/IT Incident,Network Server,2025,High
"La Perouse, LLC",501,Hacking/IT Incident,Network Server,2025,High
North Oaks Health System,6243,Hacking/IT Incident,Email,2025,High
University of Iowa Community Home Care,109029,Hacking/IT Incident,Network Server,2025,High
University of Iowa Health Care,101875,Hacking/IT Incident,Network Server,2025,High
"Carrollton Ear, Nose and Throat, PC",3569,Hacking/IT Incident,Network Server,2025,High
Reimagine Network,4799,Hacking/IT Incident,Network Server,2025,High
Anthony L. Jordan Health Corporation,2974,Hacking/IT Incident,Email,2025,High
Greater Pittsburgh Orthopaedics Associates,35000,Hacking/IT Incident,Desktop Computer,2025,High
College Hometown Pharmacy,9742,Hacking/IT Incident,Network Server,2025,High
College Parkside Pharmacy,5736,Hacking/IT Incident,Network Server,2025,High
"Assisted Living Pharmacy Service, LLC",5590,Hacking/IT Incident,Network Server,2025,High
Prime Therapeutics LLC,2266,Unauthorized Access/Disclosure,Laptop,2025,Medium
"Pacific Imaging Management, LLC",13158,Hacking/IT Incident,Email,2025,High
zizzl llc,2416,Hacking/IT Incident,Email,2025,High
Beech Acres Parenting Center,19315,Hacking/IT Incident,Network Server,2025,High
Vance County Department of Social Services,501,Hacking/IT Incident,Network Server,2025,High
"Independent Health Association, Inc.",637,Unauthorized Access/Disclosure,Other,2025,Medium
McEwen & Associates,500,Hacking/IT Incident,Network Server,2025,High
McEwen & Associates,500,Hacking/IT Incident,Network Server,2025,High
McEwen & Associates,500,Hacking/IT Incident,Network Server,2025,High
"Vital Imaging Medical Diagnostic Centers, LLC",260000,Hacking/IT Incident,Network Server,2025,High
Arkansas Primary Care Clinic,2491,Hacking/IT Incident,Network Server,2025,High
Revere Health PC,605,Hacking/IT Incident,Desktop Computer,2025,High
"CareTracker, Inc.",501,Hacking/IT Incident,Network Server,2025,High
Bevel Health Medical Group,510,Unauthorized Access/Disclosure,Electronic Medical Record,2025,Medium
"Pediatric Otolaryngology Head & Neck Surgery Associates, P.A.",43446,Hacking/IT Incident,Network Server,2025,High
CPAP Medical Supplies and Services Inc.,90133,Hacking/IT Incident,Network Server,2025,High
"Lake City Cancer Care, LLC",9980,Hacking/IT Incident,Network Server,2025,High
Alert Medical Alarms,39218,Hacking/IT Incident,Network Server,2025,High
Mower County Health and Human Services,501,Hacking/IT Incident,Network Server,2025,High
Welcome Dentistry-Anaheim,1001,Hacking/IT Incident,Network Server,2025,High
Welcome Dentistry-Los Angeles,1001,Hacking/IT Incident,Network Server,2025,High
UnitedHealthcare,3215,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
"Laurel Cancer Care, LLC",1541,Hacking/IT Incident,Email,2025,High
Zelis Healthcare LLC,4289,Unauthorized Access/Disclosure,Paper/Films,2025,Medium
Dr. Doug's Pediatric Dentistry,3590,Hacking/IT Incident,Email,2025,High
"Mission City Community Network, Inc.",11016,Hacking/IT Incident,Network Server,2025,High
Aflac Incorporated (“Aflac”),13924906,Hacking/IT Incident,Network Server,2025,High
Friesen Group,500,Hacking/IT Incident,Network Server,2025,High
"Center for Disability Services, Inc.",3343,Hacking/IT Incident,Email,2025,High
PROVAIL,501,Hacking/IT Incident,Network Server,2025,High
South Coast Pediatrics,7000,Hacking/IT Incident,Network Server,2025,High
"Oglethorpe, Inc.",92332,Hacking/IT Incident,Network Server,2025,High
Precision Endodontics of Raleigh,4022,Hacking/IT Incident,Email,2025,High
"Westminster Village Greenwood, Inc.",14386,Hacking/IT Incident,Network Server,2025,High
MDLand International Corporation,22586,Hacking/IT Incident,Network Server,2025,High
Highlands Oncology Group PA,111766,Hacking/IT Incident,Network Server,2025,High
"Langdon & Company, LLP Certified Public Accountants",46061,Hacking/IT Incident,Network Server,2025,High
DaVita Inc.,2689826,Hacking/IT Incident,Network Server,2025,High
"David A. Nover, M.D., P.C.",4703,Hacking/IT Incident,Network Server,2025,High
Vail Summit Orthopaedics,5044,Hacking/IT Incident,Email,2025,High
