covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,risk_level
"Community Health Center, Inc.",CT,Healthcare Provider,1060936,2025-01-30,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
Frederick Health,MD,Healthcare Provider,934326,2025-03-28,Hacking/IT Incident,Network Server,High
"ATSG, Inc",NY,Business Associate,909469,2024-10-04,Hacking/IT Incident,Network Server,High
Texas Tech University Health Sciences Center El Paso,TX,Healthcare Provider,815000,2024-11-25,Hacking/IT Incident,Network Server,High
McLaren Health Care,MI,Healthcare Provider,743131,2025-06-24,Hacking/IT Incident,Network Server,High
"OpenLoop Health, Inc.",IA,Business Associate,716000,2026-03-17,Hacking/IT Incident,Network Server,High
Medusind Inc.,FL,Business Associate,701475,2025-01-07,Hacking/IT Incident,Network Server,High
Texas Tech University Health Sciences Center,TX,Healthcare Provider,650000,2024-11-25,Hacking/IT Incident,Network Server,High
"ApolloMD Business Services, LLC",GA,Business Associate,626540,2026-02-10,Hacking/IT Incident,Network Server,High
NorthBay Healthcare Corporation,CA,Healthcare Provider,569012,2024-04-23,Hacking/IT Incident,Network Server,High
"Kelly & Associates Insurance Group, Inc.",MD,Business Associate,553332,2025-04-09,Hacking/IT Incident,Network Server,High
"Decisely Insurance Services, LLC",GA,Business Associate,537603,2025-06-13,Hacking/IT Incident,"Network Server, Other",High
Omni Family Health,CA,Healthcare Provider,468344,2024-10-04,Hacking/IT Incident,Network Server,High
Kootenai Health,ID,Healthcare Provider,464088,2024-04-24,Hacking/IT Incident,Network Server,High
Ascension Health,MO,Healthcare Provider,437329,2025-04-28,Hacking/IT Incident,Network Server,High
"Specialty Networks, Inc.",TN,Business Associate,411037,2024-08-15,Hacking/IT Incident,Network Server,High
"American Addiction Centers, Inc.",TN,Business Associate,410747,2024-11-25,Hacking/IT Incident,Network Server,High
Philadelphia Corporation for Aging (PCA),PA,Business Associate,410491,2025-09-23,Hacking/IT Incident,Network Server,High
Panorama Eyecare,CO,Healthcare Provider,377911,2024-06-05,Hacking/IT Incident,Network Server,High
Rocky Mountain Gastroenterology Associates PLLC,CO,Healthcare Provider,366491,2024-11-13,Hacking/IT Incident,Network Server,High
"Northwest Radiologists, Inc./Mount Baker Imaging",WA,Healthcare Provider,362713,2025-10-28,Hacking/IT Incident,Network Server,High
Onsite Mammography,MA,Business Associate,357265,2025-04-21,Hacking/IT Incident,Email,High
"Ciox Health LLC, d/b/a Datavant Group",AZ,Business Associate,320702,2024-10-07,Hacking/IT Incident,Email,High
"VITAS Hospice Services, LLC",FL,Healthcare Provider,319177,2025-11-24,Hacking/IT Incident,Network Server,High
Minnesota Department of Human Services,MN,Health Plan,303965,2026-01-16,Unauthorized Access/Disclosure,Network Server,High
"Excelsior Orthopaedics, LLC",NY,Healthcare Provider,292913,2024-08-21,Hacking/IT Incident,Network Server,High
Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC,PA,Healthcare Provider,292773,2025-01-17,Hacking/IT Incident,Network Server,High
North Texas Behavioral Health Authority,TX,Healthcare Provider,285086,2026-03-06,Hacking/IT Incident,Network Server,High
Alabama Cardiovascular Group,AL,Healthcare Provider,280534,2024-08-02,Hacking/IT Incident,Network Server,High
"Zumpano Patricios, P.A.",FL,Business Associate,279275,2025-07-03,Hacking/IT Incident,Network Server,High
"Vital Imaging Medical Diagnostic Centers, LLC",FL,Healthcare Provider,260000,2025-08-21,Hacking/IT Incident,Network Server,High
"The City of Long Beach, CA",CA,Healthcare Provider,258191,2025-04-14,Hacking/IT Incident,Network Server,High
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,252214,2024-05-24,Hacking/IT Incident,Network Server,High
"EngageMED, Inc",AR,Business Associate,249297,2024-08-30,Hacking/IT Incident,Network Server,High
"Medical Associates of Brevard, LLC",FL,Healthcare Provider,246711,2025-09-05,Hacking/IT Incident,Network Server,High
"Fieldtex Products, Inc.",NY,Business Associate,238615,2025-11-20,Hacking/IT Incident,Network Server,High
"Bell Ambulance, Inc.",WI,Healthcare Provider,237830,2025-04-14,Hacking/IT Incident,Network Server,High
Cierant Corporation,CT,Business Associate,232506,2025-07-03,Hacking/IT Incident,Network Server,High
"Blue & Co., LLC",IN,Business Associate,228999,2025-02-07,Hacking/IT Incident,Network Server,High
"Regional Care, Inc.",NE,Healthcare Clearing House,225728,2024-12-17,Hacking/IT Incident,Network Server,High
Delta Health System,MS,Healthcare Provider,216532,2024-03-29,Hacking/IT Incident,Network Server,High
Harbor,OH,Healthcare Provider,216000,2025-09-30,Hacking/IT Incident,Network Server,High
Horizon Healthcare RCM,IN,Healthcare Clearing House,210901,2025-06-27,Hacking/IT Incident,Network Server,High
Dameron Hospital,CA,Healthcare Provider,210706,2025-04-02,Hacking/IT Incident,Network Server,High
Expert MRI,CA,Healthcare Provider,209560,2025-10-31,Hacking/IT Incident,Network Server,High
"Asheville Eye Associates, PLLC",NC,Healthcare Provider,204984,2025-01-17,Hacking/IT Incident,Network Server,High
Tri Century Eye Care PC,PA,Healthcare Provider,200000,2025-10-31,Hacking/IT Incident,Network Server,High
"Modernizing Medicine, Inc.",FL,Business Associate,198795,2025-10-17,Hacking/IT Incident,Network Server,High
Muskogee City County Enhanced 911 Trust Authority,OK,Business Associate,180000,2024-09-20,Hacking/IT Incident,Network Server,High
"Harbin Clinic, LLC",GA,Healthcare Provider,176149,2025-05-16,Hacking/IT Incident,Network Server,High
"CDHA Management, LLC and Spark DSO, LLC dba Chord Specialty Dental Partners",TN,Healthcare Provider,173430,2025-03-14,Hacking/IT Incident,Email,High
Deer Oaks Behavioral Health,TX,Healthcare Provider,171871,2024-07-31,Hacking/IT Incident,Network Server,High
Doctors Imaging Group,FL,Healthcare Provider,171862,2025-09-24,Hacking/IT Incident,Network Server,High
Central Kentucky Radiology,KY,Healthcare Provider,166953,2025-06-13,Hacking/IT Incident,Network Server,High
Southern Illinois Dermatology,IL,Healthcare Provider,160312,2026-04-02,Hacking/IT Incident,Network Server,High
"Alera Group, Inc.",IL,Business Associate,155567,2025-07-29,Hacking/IT Incident,Network Server,High
Retina Group of Florida,FL,Healthcare Provider,152691,2025-09-03,Hacking/IT Incident,Network Server,High
Delta County Memorial Hospital District (Delta Health),CO,Healthcare Provider,148363,2024-07-29,Hacking/IT Incident,Network Server,High
Saint Anthony Hospital,IL,Healthcare Provider,146108,2026-03-06,Hacking/IT Incident,Email,High
"Escambia Community Clinics, Inc. dba Community Health Northwest Florida",FL,Healthcare Provider,143969,2025-02-03,Hacking/IT Incident,Network Server,High
"Innovative Scientific Solutions, LLC",SC,Healthcare Provider,143842,2026-04-17,Hacking/IT Incident,Network Server,High
"Wound Technology Network, Inc.",FL,Healthcare Provider,139830,2026-01-28,Hacking/IT Incident,Network Server,High
"University Diagnostic Medical Imaging, PC",NY,Healthcare Provider,138080,2025-01-21,Hacking/IT Incident,Network Server,High
"Kerber, Eck & Braeckel LLP",IL,Business Associate,134918,2024-08-16,Hacking/IT Incident,Network Server,High
"Community Dental Care, Inc.",MN,Healthcare Provider,134903,2025-03-28,Hacking/IT Incident,Network Server,High
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)",NJ,Healthcare Provider,133862,2026-02-27,Hacking/IT Incident,Network Server,High
Great Plains Regional Medical Center,OK,Healthcare Provider,133149,2024-11-07,Hacking/IT Incident,Network Server,High
Alabama Ophthalmology Associates,AL,Healthcare Provider,131576,2025-04-08,Hacking/IT Incident,"Desktop Computer, Network Server",High
"Signature Performance, Inc.",NE,Business Associate,130228,2024-06-10,Hacking/IT Incident,Network Server,High
Delta Dental of Virginia,VA,Health Plan,126953,2025-11-21,Hacking/IT Incident,Email,High
Medical Express Ambulance Inc.  D/B/A Medex Ambulance,IL,Healthcare Provider,121190,2024-05-02,Hacking/IT Incident,Network Server,High
"Newport Harbor Pathology Medical Group, Inc.",CA,Healthcare Provider,119341,2025-01-10,Hacking/IT Incident,Network Server,High
Endue Software,ME,Business Associate,118028,2025-04-11,Hacking/IT Incident,Network Server,High
RRCA Accounts Management Inc.,IL,Business Associate,115837,2024-10-18,Hacking/IT Incident,"Desktop Computer, Network Server",High
Community Care Alliance,RI,Healthcare Provider,114975,2025-03-01,Hacking/IT Incident,Network Server,High
Richmond Behavioral Health Authority,VA,Healthcare Provider,113232,2025-11-28,Hacking/IT Incident,Network Server,High
"Tycon Medical Systems, Inc.",VA,Healthcare Provider,112847,2024-12-30,Hacking/IT Incident,Network Server,High
"VeriSource Services, Inc.",TX,Business Associate,112726,2024-08-20,Hacking/IT Incident,Network Server,High
Persante Health Care,NJ,Business Associate,111815,2025-11-26,Hacking/IT Incident,Network Server,High
Highlands Oncology Group PA,AR,Healthcare Provider,111766,2025-08-01,Hacking/IT Incident,Network Server,High
"Coastal Carolina Health Care, PA",NC,Healthcare Provider,110304,2026-03-24,Hacking/IT Incident,Network Server,High
"VectraRx Mail Pharmacy Services, LLC",AZ,Healthcare Provider,109383,2025-02-06,Hacking/IT Incident,Network Server,High
University of Iowa Community Home Care,IA,Healthcare Provider,109029,2025-08-29,Hacking/IT Incident,Network Server,High
Denton MHMR Center,TX,Healthcare Provider,108967,2025-11-05,Hacking/IT Incident,Network Server,High
United of Omaha Life Insurance Company,NE,Health Plan,107894,2024-07-26,Hacking/IT Incident,Email,High
Centers for Medicare & Medicaid Services,MD,Health Plan,107154,2025-06-30,Hacking/IT Incident,Network Server,High
"Hillcrest Convalescent Center, Inc.",NC,Healthcare Provider,106194,2025-03-04,Hacking/IT Incident,Network Server,High
Renkim Corporation,MI,Business Associate,105518,2025-06-02,Hacking/IT Incident,Network Server,High
Mid America Physician Services,KS,Healthcare Provider,104513,2025-01-13,Hacking/IT Incident,Network Server,High
"Fieldtex Products, Inc.",NY,Business Associate,104071,2025-12-12,Hacking/IT Incident,Network Server,High
Brightstar Global Solutions Corporation,RI,Health Plan,103879,2025-10-03,Hacking/IT Incident,Network Server,High
"Liberty Resources, Inc.",NY,Healthcare Provider,103711,2025-03-04,Hacking/IT Incident,Network Server,High
University of Iowa Health Care,IA,Healthcare Provider,101875,2025-08-29,Hacking/IT Incident,Network Server,High
Mainline Health Systems Inc,AR,Healthcare Provider,101104,2025-06-23,Hacking/IT Incident,Network Server,High
"Survival Flight, Inc.",AZ,Healthcare Provider,97217,2025-09-15,Hacking/IT Incident,Network Server,High
Columbia Medical Practice,MD,Healthcare Provider,94131,2025-12-05,Hacking/IT Incident,Network Server,High
"NS Support, LLC",ID,Healthcare Provider,92845,2025-11-21,Hacking/IT Incident,Network Server,High
"Oglethorpe, Inc.",FL,Healthcare Provider,92332,2025-08-05,Hacking/IT Incident,Network Server,High
Hospital Caribbean Medical Center,null,Healthcare Provider,92000,2026-04-06,Hacking/IT Incident,Network Server,High
North East Medical Services,CA,Healthcare Provider,91513,2025-12-18,Hacking/IT Incident,Network Server,High
CPAP Medical Supplies and Services Inc.,FL,Healthcare Provider,90133,2025-08-15,Hacking/IT Incident,Network Server,High
National Association on Drug Abuse Problems,NY,Healthcare Provider,90000,2026-02-13,Hacking/IT Incident,Network Server,High
Spindletop Center,TX,Healthcare Provider,88863,2025-11-28,Hacking/IT Incident,Network Server,High
"Covenant Surgical Partners, Inc.",TX,Business Associate,88609,2025-05-28,Hacking/IT Incident,Network Server,High
Counseling Center of Wayne & Holmes Counties,OH,Healthcare Provider,83354,2026-02-09,Hacking/IT Incident,Network Server,High
Clinic Service Corporation,CO,Business Associate,82331,2026-01-28,Hacking/IT Incident,Network Server,High
"Trionfo Solutions, LLC",IL,Business Associate,81588,2024-05-22,Hacking/IT Incident,Network Server,High
AllerVie Health,TX,Healthcare Provider,80521,2025-12-23,Hacking/IT Incident,Network Server,High
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,TX,Healthcare Provider,80000,2024-05-17,Hacking/IT Incident,Network Server,High
Conceptions Reproductive Associates of Colorado,CO,Healthcare Provider,80000,2024-11-25,Hacking/IT Incident,Network Server,High
"ESHA, Inc.",TX,Business Associate,76922,2024-11-15,Hacking/IT Incident,Network Server,High
Health Services LLC,OH,Healthcare Provider,75906,2025-04-01,Hacking/IT Incident,Network Server,High
Sierra Vista Hospital & Clinics,NM,Healthcare Provider,75054,2025-10-06,Hacking/IT Incident,Network Server,High
"West Texas Health, PLLC",TX,Business Associate,73720,2025-12-02,Hacking/IT Incident,Network Server,High
Academic Urology & Urogynecology of Arizona,AZ,Healthcare Provider,73281,2026-02-13,Hacking/IT Incident,Network Server,High
Concord Orthopaedics,NH,Healthcare Provider,72815,2025-03-25,Hacking/IT Incident,Network Server,High
Anchorage Neighborhood Health Center,AK,Healthcare Provider,70555,2025-11-19,Hacking/IT Incident,Network Server,High
Rockhill Women’s Care,MO,Healthcare Provider,70129,2025-09-25,Hacking/IT Incident,Network Server,High
Texas Health and Human Services Commission,TX,Health Plan,68066,2026-01-05,Hacking/IT Incident,Network Server,High
"Primary Health-SMMPP, L.C.",AZ,Business Associate,67567,2025-02-06,Hacking/IT Incident,Network Server,High
Tri-Cities Gastroenterology,TN,Healthcare Provider,67115,2026-04-29,Hacking/IT Incident,Network Server,High
The Plastic Surgery Center,NJ,Healthcare Provider,64813,2025-01-03,Hacking/IT Incident,Network Server,High
"MedStar Health, Inc.",MD,Healthcare Provider,64332,2025-12-03,Hacking/IT Incident,Network Server,High
Buffalo Surgery Center,NY,Healthcare Provider,64000,2025-01-04,Hacking/IT Incident,Network Server,High
"OB-GYN Associates, Ltd. dba OBGYN Associates",NV,Healthcare Provider,62238,2025-10-06,Hacking/IT Incident,Network Server,High
"Gaylord Hospital, Inc",CT,Healthcare Provider,62232,2025-02-28,Hacking/IT Incident,Network Server,High
Western Wayne Family Physicians,MI,Healthcare Provider,62000,2025-03-26,Hacking/IT Incident,Network Server,High
Weiser Valley Hospital District dba Weiser Memorial Hospital,ID,Healthcare Provider,59990,2025-05-15,Hacking/IT Incident,Network Server,High
McKenzie Memorial Hospital,MI,Healthcare Provider,58839,2025-07-24,Hacking/IT Incident,Network Server,High
Central District Health Department of Nebraska,NE,Healthcare Provider,58519,2025-04-01,Hacking/IT Incident,Network Server,High
Exclusive Physicians PLLC,MI,Healthcare Provider,58000,2026-03-06,Hacking/IT Incident,Network Server,High
Beverly Hills Oncology Medical Group,CA,Healthcare Provider,57655,2025-10-31,Hacking/IT Incident,Network Server,High
The Cooper Health System,NJ,Healthcare Provider,57412,2025-05-23,Hacking/IT Incident,Network Server,High
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,56902,2024-11-12,Hacking/IT Incident,Email,High
Amalgamated Meat Cutters and Retail Food Store Employees Union Local 342 Health Care Fund,NY,Health Plan,56615,2025-06-26,Hacking/IT Incident,Network Server,High
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,56000,2024-10-18,Hacking/IT Incident,Network Server,High
"Davies, McFarland & Carroll LLC",PA,Business Associate,54712,2025-11-24,Hacking/IT Incident,Network Server,High
Brevard Skin and Cancer Center,FL,Healthcare Provider,54570,2025-12-12,Hacking/IT Incident,Network Server,High
Clay Platte Family Medicine,MO,Healthcare Provider,53916,2024-10-18,Hacking/IT Incident,Network Server,High
"Turning Point of Central California, Inc.",CA,Healthcare Provider,53737,2024-08-09,Hacking/IT Incident,Network Server,High
"Rocky Mountain Associated Physicians, P.C.",UT,Healthcare Provider,50640,2026-04-03,Hacking/IT Incident,Network Server,High
"Dr. Daniel J. Leeman, M.D.",TX,Healthcare Provider,50000,2024-10-04,Hacking/IT Incident,Network Server,High
Behavioral Health Resources,WA,Healthcare Provider,49213,2025-01-17,Hacking/IT Incident,Network Server,High
Surgery Center of Mid Florida,FL,Healthcare Provider,48684,2024-07-24,Hacking/IT Incident,Network Server,High
River Region Cardiology,AL,Healthcare Provider,48600,2024-12-11,Hacking/IT Incident,Network Server,High
Clinica Family Health Services,CO,Healthcare Provider,47593,2025-07-14,Hacking/IT Incident,Network Server,High
Heart South Cardiovascular Group,AL,Healthcare Provider,46666,2026-04-06,Hacking/IT Incident,Network Server,High
"Langdon & Company, LLP Certified Public Accountants",NC,Business Associate,46061,2025-08-01,Hacking/IT Incident,Network Server,High
"Community Counseling of Bristol County, Inc.",MA,Healthcare Provider,44991,2024-07-19,Hacking/IT Incident,Network Server,High
Gastroenterology Consultants of South Texas,TX,Healthcare Provider,44579,2025-07-22,Hacking/IT Incident,Network Server,High
Avosina Healthcare Solutions,VA,Business Associate,44425,2026-01-10,Hacking/IT Incident,Network Server,High
Heartland Health Center,NE,Healthcare Provider,43728,2025-10-17,Hacking/IT Incident,Network Server,High
"Pediatric Otolaryngology Head & Neck Surgery Associates, P.A.",FL,Healthcare Provider,43446,2025-08-18,Hacking/IT Incident,Network Server,High
"Fyzical Acquisition Holdings, LLC",FL,Business Associate,43045,2025-03-21,Hacking/IT Incident,Email,High
Conduent Business Services LLC,NJ,Business Associate,42616,2025-10-08,Hacking/IT Incident,Network Server,High
"Pediatric Home Respiratory Services, LLC d/b/a Pediatric Home Service",MN,Healthcare Provider,41792,2025-01-06,Hacking/IT Incident,Network Server,High
Pomona Community Health Center dba ParkTree Community Health Center,CA,Healthcare Provider,40964,2024-08-21,Hacking/IT Incident,Network Server,High
Morton Drug Company,WI,Healthcare Provider,40051,2025-11-10,Hacking/IT Incident,Network Server,High
Alert Medical Alarms,PA,Healthcare Provider,39218,2025-08-15,Hacking/IT Incident,Network Server,High
"Providia Home Care, LLC dba Preferred Care Home Health Services",FL,Healthcare Provider,38401,2025-05-30,Hacking/IT Incident,Email,High
Mount Rogers Community Services,VA,Healthcare Provider,38191,2025-06-13,Hacking/IT Incident,Network Server,High
Woodfords Family Services,ME,Healthcare Provider,38061,2026-03-27,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",High
Cumberland County Hospital Association,KY,Healthcare Provider,36659,2025-06-02,Hacking/IT Incident,Other,High
Rural Health Services,SC,Healthcare Provider,36542,2025-06-12,Hacking/IT Incident,Network Server,High
"Ennoble Care & Circa Health, LLC",NJ,Healthcare Provider,36332,2025-09-18,Hacking/IT Incident,Email,High
Marshfield Clinic Health System,WI,Healthcare Provider,35952,2025-11-07,Hacking/IT Incident,Email,High
"Vida Y Salud-Health Systems, Inc.",TX,Healthcare Provider,35236,2025-12-08,Hacking/IT Incident,Network Server,High
Greater Pittsburgh Orthopaedics Associates,PA,Healthcare Provider,35000,2025-08-27,Hacking/IT Incident,Desktop Computer,High
"Gateway Community Services, Inc.",FL,Healthcare Provider,34498,2025-05-29,Hacking/IT Incident,Network Server,High
"Lakeside Pediatrics & Adolescent Medicine, PLLC",ID,Healthcare Provider,34154,2026-02-27,Hacking/IT Incident,Network Server,High
Atrium Health,NC,Healthcare Provider,32120,2024-09-13,Hacking/IT Incident,Email,High
"Medical Center, LLP",GA,Healthcare Provider,32090,2025-12-19,Hacking/IT Incident,Network Server,High
Mt. Spokane Pediatrics,WA,Healthcare Provider,32021,2026-04-30,Hacking/IT Incident,Network Server,High
"Infinite Services, Inc.",NY,Healthcare Provider,31742,2025-07-21,Hacking/IT Incident,Network Server,High
The Gatesworth Senior Living St. Louis,MO,Healthcare Provider,31124,2025-04-11,Hacking/IT Incident,Network Server,High
Jefferson-Blount-St. Clair Mental Health Authority,AL,Healthcare Provider,30434,2026-01-23,Hacking/IT Incident,Network Server,High
Watsonville Community Hospital,CA,Healthcare Provider,30312,2024-12-31,Hacking/IT Incident,Network Server,High
"Legacy Treatment Services, Inc.",NJ,Healthcare Provider,29898,2024-12-31,Hacking/IT Incident,Network Server,High
Emanuel Medical Center,GA,Healthcare Provider,28963,2026-02-17,Hacking/IT Incident,Network Server,High
"Bradford Health Services, LLC",AL,Healthcare Provider,28543,2024-02-06,Hacking/IT Incident,Network Server,High
"Visiting Nurse Association of Texas, LLC",TX,Healthcare Provider,28515,2025-10-10,Hacking/IT Incident,Email,High
Fort Wayne Medical Education Program,IN,Healthcare Provider,28502,2025-03-06,Hacking/IT Incident,Network Server,High
Hunter Health Clinic,KS,Healthcare Provider,28431,2025-05-15,Hacking/IT Incident,Email,High
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,28185,2026-01-05,Hacking/IT Incident,Network Server,High
Wyandot Behavioral Health Network,KS,Healthcare Provider,27174,2025-11-20,Hacking/IT Incident,Network Server,High
Sun Valley Surgery Center,NV,Healthcare Provider,27001,2025-09-18,Hacking/IT Incident,Network Server,High
Sharp Community Medical Group,CA,Healthcare Provider,26976,2025-06-06,Hacking/IT Incident,Network Server,High
Self Regional Healthcare,SC,Healthcare Provider,26696,2025-07-17,Hacking/IT Incident,Network Server,High
Cache Valley Ear Nose & Throat,UT,Healthcare Provider,26469,2025-04-24,Hacking/IT Incident,Network Server,High
Advantage Capital Holdings LLC,UT,Health Plan,26343,2025-12-30,Hacking/IT Incident,Network Server,High
Klickitat Valley Health,WA,Healthcare Provider,26339,2025-03-14,Hacking/IT Incident,Network Server,High
"High Point Treatment Center, Inc.",MA,Healthcare Provider,25832,2026-01-30,Hacking/IT Incident,"Electronic Medical Record, Network Server",High
"Cary Pediatric Center, PA",NC,Healthcare Provider,25784,2025-11-17,Hacking/IT Incident,Network Server,High
Regional Obstetrical Consultants PC,TN,Healthcare Provider,25650,2024-07-02,Hacking/IT Incident,Network Server,High
"Huron Regional Medical Center, Inc.",SD,Healthcare Provider,25398,2025-06-06,Hacking/IT Incident,Network Server,High
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,null,Healthcare Provider,24236,2026-03-26,Hacking/IT Incident,Network Server,High
"PGA Development, Inc.",PA,Healthcare Provider,23899,2025-09-10,Hacking/IT Incident,Network Server,High
Esse Health,MO,Healthcare Provider,23671,2025-06-20,Hacking/IT Incident,Network Server,High
Dr. Michael Bilikas and Associates d.b.a. 32 Pearls,WA,Healthcare Provider,23517,2025-07-21,Hacking/IT Incident,Network Server,High
"Compassion Health Care, Inc.",NC,Healthcare Provider,23282,2025-05-16,Hacking/IT Incident,Network Server,High
"Hawaii Radiologic Associates, Ltd.",HI,Healthcare Provider,23205,2024-10-25,Hacking/IT Incident,Network Server,High
"Cedar Point Health, LLC",CO,Healthcare Provider,23114,2026-02-12,Hacking/IT Incident,Network Server,High
"Tri-City Cardiology Consultants, P.C.",AZ,Healthcare Provider,22753,2025-05-08,Hacking/IT Incident,Network Server,High
MDLand International Corporation,NY,Business Associate,22586,2025-08-04,Hacking/IT Incident,Network Server,High
Orthopaedic Specialists of Connecticut,CT,Healthcare Provider,22541,2025-04-23,Hacking/IT Incident,Network Server,High
"Drug and Alcohol Treatment Services, Inc.",PA,Healthcare Provider,22215,2025-04-24,Hacking/IT Incident,Network Server,High
MedPeds Associates of Sarasota,FL,Healthcare Provider,22017,2026-03-13,Hacking/IT Incident,Network Server,High
Southwest C.A.R.E. Center,NM,Healthcare Provider,21866,2025-10-03,Hacking/IT Incident,Network Server,High
Northwestern Community Services Board,VA,Healthcare Provider,21856,2025-05-29,Hacking/IT Incident,Network Server,High
NAHGA Claim Services,ME,Health Plan,21834,2025-11-19,Hacking/IT Incident,Network Server,High
Lake Washington Vascular,WA,Healthcare Provider,21534,2025-02-25,Hacking/IT Incident,Network Server,High
Community Hospital of Anaconda,MT,Healthcare Provider,21243,2025-05-19,Hacking/IT Incident,Network Server,High
"Fieldtex Products, Inc.",NY,Business Associate,20641,2025-12-03,Hacking/IT Incident,Network Server,High
Liberty Bankers Life Ins. Co.,TX,Health Plan,20202,2026-04-22,Hacking/IT Incident,Network Server,High
WIRX Pharmacy,PA,Healthcare Provider,20047,2026-02-05,Hacking/IT Incident,Network Server,High
Gandara Mental Health Center,MA,Healthcare Provider,20024,2024-10-24,Hacking/IT Incident,Network Server,High
Wendy Foster OD,KS,Healthcare Provider,20000,2026-02-09,Hacking/IT Incident,Network Server,High
"East Central Missouri Behavioral Health Services, Inc.",MO,Healthcare Provider,20000,2024-11-21,Hacking/IT Incident,Network Server,High
"Keys Pathology Associates, PA",FL,Healthcare Provider,20000,2025-07-19,Hacking/IT Incident,Network Server,High
Barrio Comprehensive Family Health Care Center,TX,Healthcare Provider,19971,2026-03-06,Hacking/IT Incident,Email,High
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,19481,2025-06-30,Hacking/IT Incident,Network Server,High
"Northwest Denture Center, Inc.",WA,Healthcare Provider,19419,2025-07-25,Hacking/IT Incident,Network Server,High
Beech Acres Parenting Center,OH,Healthcare Provider,19315,2025-08-22,Hacking/IT Incident,Network Server,High
Teamsters Union 25 Health Services & Insurance Plan,MA,Health Plan,19231,2025-09-03,Hacking/IT Incident,Network Server,High
"Somnia, Inc.",NY,Business Associate,19069,2025-02-14,Hacking/IT Incident,Email,High
"Los Angeles County Developmental Services Fdn., Inc. dba Frank D. Lanterman Regional Ctr.",CA,Healthcare Provider,19000,2025-06-20,Hacking/IT Incident,Email,High
Community Connections,DC,Healthcare Provider,18949,2024-12-11,Hacking/IT Incident,Network Server,High
UNITED BACKCARE PS dba Pacific Rehabilitation Centers,WA,Healthcare Provider,18900,2025-02-11,Hacking/IT Incident,Network Server,High
Space Coast Vascular,FL,Healthcare Provider,18819,2025-10-06,Hacking/IT Incident,Network Server,High
"Pinnacle Holdings, LTD",PA,Business Associate,18313,2026-01-13,Hacking/IT Incident,Network Server,High
"Neurobehavioral Medicine Consultants, P.C.",OH,Healthcare Provider,18182,2024-06-14,Hacking/IT Incident,Network Server,High
